ID_MAQUINA,MAQUINA_TXT,MAQUINA_TIPO,total_horas,dias_activos,ultimo_reporte,total_reportes,promedio_horas_dia
ade41e9b,RN-01 AMMANN AP 240,RODILLO NEUMATICO,7,4,2025-12-05,4,1.75
d4634a09,RL-01 AMMANN AV 70X,RODILLO LISO,4,2,2025-12-03,2,2.0
m000090,T-01 MASSEY FERGUSON 299,TRACTOR,2,2,2025-12-01,2,1.0
m000092,T-03 HKVR32,TRACTOR,1,1,2026-02-05,1,1.0
069deb48,MB-01 KDWS38,MINI BUS,0,54,2026-03-05,56,0.0
70eb727f,CK-03 TS2119,CAMION GANADERO,0,5,2026-03-20,6,0.0
2e6217b5,P-05 Harcha,PLANTA HORMIGON,0,24,2026-03-04,24,0.0
6dd1b12b,EQUIPO MENOR BARREDORA BROCE BW260] - BROCE,EQUIPO MENOR,0,4,2026-02-04,4,0.0
12fa78bc,C-51 TSXT79,CAMIONETA,0,12,2026-03-03,12,0.0
1234c9d4,BA-01 BARREDORA LAYMOR,BARREDORA,0,2,2025-12-03,2,0.0
00e8b7bd,C-52 LGTF54,CAMIONETA,0,2,2026-02-16,2,0.0
1b3df8b7,CI-02 GGHD72,CAMION IMPRIMADOR,0,58,2026-03-18,58,0.0
8fda5167,CS-01 GDRK79,CAMION SLURRY,0,1,2026-03-27,1,0.0
m000032,TC-02 DSBH56,TRACTO CAMION,0,84,2026-03-26,108,0.0
adc86871,C-54 VPPL47,CAMIONETA,0,90,2026-03-28,91,0.0
m000001,CP-05 RKYD89,CAMION PLANO,0,67,2026-03-27,103,0.0
m000012,CP-04 LBLG59,CAMION PLANO,0,68,2026-03-20,68,0.0
m000011,CP-03 HKFG20,CAMION PLANO,0,97,2026-03-28,101,0.0
m000010,CP-02 HKST11,CAMION PLANO,0,54,2026-03-25,80,0.0
m000008,CM-01 YZ6869,CAMION MIXER,0,79,2026-03-27,80,0.0
dece6299,C-49 JRPT44,CAMIONETA,0,1,2026-02-10,1,0.0
b5f0fa95,C-55,CAMIONETA,0,1,2026-03-10,2,0.0
m000102,C-02 FBWJ56,CAMIONETA,0,1,2026-02-16,1,0.0
m000104,C-04 GBPH77,CAMIONETA,0,2,2026-02-16,2,0.0
m000106,C-06 GZZB73,CAMIONETA,0,1,2026-02-25,1,0.0
m000109,C-09  JYFV98,CAMIONETA,0,3,2026-02-26,3,0.0
m000113,C-16 KPGT70,CAMIONETA,0,1,2026-01-26,1,0.0
m000114,C-14 KPGT71,CAMIONETA,0,2,2026-03-04,2,0.0
m000119,C-19 RCZX21,CAMIONETA,0,2,2026-02-24,2,0.0
m000120,C-20 RCZX23,CAMIONETA,0,1,2026-02-24,1,0.0
m000121,C-21 RCZX26,CAMIONETA,0,1,2026-02-10,1,0.0
m000122,C-22 RCZX28,CAMIONETA,0,5,2026-02-12,5,0.0
m000123,C-23 RCWX81,CAMIONETA,0,1,2026-02-16,1,0.0
m000124,C-24  RCXB16,CAMIONETA,0,3,2026-03-23,4,0.0
