ID_MAQUINA,MAQUINA,TIPO_MAQUINA,ESTADO,ultimo_reporte,horas_sin_reporte,tipo_alerta,descripcion,umbral_horas,FECHA,LITROS,promedio_litros
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 360 L (promedio: 119 L),,2026-03-24 09:17:59.136,360.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 372 L (promedio: 119 L),,2026-03-24 10:50:04.416,372.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 310 L (promedio: 119 L),,2026-03-24 13:11:46.176,310.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 300 L (promedio: 119 L),,2026-03-24 15:20:38.976,300.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 328 L (promedio: 119 L),,2026-03-24 15:57:15.264,328.0,118.94988055861816
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 2500 L (promedio: 817 L),,2026-03-25 21:32:11.040,2500.0,816.9254901960784
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 3000 L (promedio: 817 L),,2026-03-26 08:48:29.664,3000.0,816.9254901960784
87eb0330,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 105 L (promedio: 38 L),,2026-03-26 09:28:53.184,105.0,38.42370892018779
87eb0330,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 97 L (promedio: 38 L),,2026-03-26 19:31:56.640,97.0,38.42370892018779
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 306 L (promedio: 119 L),,2026-03-27 10:49:27.264,306.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 390 L (promedio: 119 L),,2026-03-27 11:04:41.376,390.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 320 L (promedio: 119 L),,2026-03-27 17:21:40.896,320.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 358 L (promedio: 119 L),,2026-03-28 18:52:16.320,358.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 300 L (promedio: 119 L),,2026-03-28 13:45:45.216,300.0,118.94988055861816
5442dcf7,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 533 L (promedio: 119 L),,2026-03-29 11:49:03.360,533.0,118.94988055861816
9e53a97a,,,,,,COMBUSTIBLE_INUSUAL,Recarga de 3500 L (promedio: 817 L),,2026-03-30 09:56:26.880,3500.0,816.9254901960784
